,lat,lon
582,"-09°25'25.900""","-63°02'52.400"""
583,"-01°41'00.600""","-56°27'09.600"""
584,"-06°06'29.300""","-50°10'08.600"""
585,"-19°55'47.792""","-43°11'46.298"""
586,"-15°39'22.881""","-56°20'16.227"""
587,"-01°40'51.144""","-56°28'08.144"""
588,"00°50'71.400""","-51°53'17.500"""
589,"-20°06'36.810""","-43°54'31.680"""
590,"-18°53'57.000""","-43°24'30.000"""
591,"-10°39'26.400""","-37°01'52.800"""
592,"-09°52'47.508""","-39°51'58.329"""
593,"-19°39'25.200""","-46°56'24.650"""
594,"-19°02'52.200""","-46°43'26.400"""
595,"-09°27'29.000""","-63°03'07.000"""
596,"-06°21'58.030""","-56°16'04.000"""
597,"-20°11'35.310""","-43°30'30.600"""
598,"-23°52'55.700""","-46°18'51.600"""
599,"-17°58'05.930""","-43°10'08.450"""
600,"-21°27'18.809""","-42°52'17.972"""
601,"-23°33'56.300""","-46°16'24.100"""
602,"-20°04'07.200""","-43°55'50.100"""
603,"-23°24'03.560""","-46°55'05.690"""
604,"-09°51'26.408""","-39°51'48.095"""
605,"-19°49'17.090""","-43°43'01.480"""
606,"-15°39'01.002""","-56°23'13.280"""
607,"-20°08'54.160""","-44°27'35.942"""
608,"-01°41'59.600""","-56°28'31.500"""
609,"-20°07'36.100""","-44°18'58.100"""
610,"-19°38'26.316""","-43°14'29.320"""
611,"-20°15'04.290""","-43°56'14.040"""
612,"-30°08'44.381""","-52°00'13.591"""
613,"-15°59'15.130""","-56°18'49.880"""
614,"-02°29'10.500""","-56°11'45.600"""
615,"-09°51'04.554""","-39°51'53.992"""
616,"-16°16'27.700""","-56°38'14.100"""
617,"-09°51'20.905""","-39°51'45.971"""
618,"-09°31'23.270""","-56°29'11.955"""
619,"-16°10'33.100""","-56°35'40.100"""
620,"-20°16'22.353""","-43°53'42.615"""
621,"-23°24'04.600""","-46°12'19.500"""
622,"-19°37'01.000""","-47°01'16.000"""
623,"-16°14'55.560""","-56°36'19.500"""
624,"-10°39'12.400""","-37°01'50.100"""
625,"-23°25'50.600""","-46°12'39.200"""
626,"-19°34'32.225""","-43°12'17.125"""
627,"-15°10'53.160""","-59°20'42.550"""
628,"-20°01'09.000""","-43°29'34.200"""
629,"-16°02'04.210""","-56°32'00.710"""
630,"-20°06'58.000""","-43°52'25.400"""
631,"-09°52'33.556""","-39°52'17.827"""
632,"-19°53'29.500""","-43°17'07.900"""
633,"-09°49'53.300""","-39°49'29.700"""
634,"-16°23'38.000""","-50°23'01.200"""
635,"-01°40'10.900""","-56°26'41.600"""
636,"-17°10'31.800""","-46°53'16.200"""
637,"-09°45'55.465""","-63°31'12.111"""
638,"-23°33'46.100""","-46°16'04.500"""
