,substancia,mes,valor
0,FERRO,1,192898188.005750000000000000
1,FERRO,10,295178983.553836000000000000
2,FERRO,11,384263021.910546000000000000
3,FERRO,12,809518977.362553000000000000
4,FERRO,2,186748150.039121000000000000
5,FERRO,3,164740704.873222000000000000
6,FERRO,4,156929896.464862000000000000
7,FERRO,5,181655679.854185000000000000
8,FERRO,6,152170733.736851000000000000
9,FERRO,7,207795685.218617000000000000
10,FERRO,8,205092009.871295000000000000
11,FERRO,9,257193545.756238000000000000
