,ano,mes,valor,substancia,uf
126,2020,6,1224423.200000000000000000,FERRO,MG
127,2020,10,194682.190000000000000000,FERRO,MG
128,2020,3,1181946.900000000000000000,FERRO,MG
129,2020,11,20015446.000000000000000000,FERRO,MG
130,2020,9,358406.840000000000000000,FERRO,MG
131,2020,4,18931.701000000000000000,FERRO,MG
132,2020,9,5595.124000000000000000,FERRO,RJ
133,2020,7,2.093616000000000000,FERRO,CE
134,2020,9,220654.220000000000000000,FERRO,MA
135,2020,3,568795.440000000000000000,FERRO,MG
136,2020,9,1422469.900000000000000000,FERRO,MG
137,2020,9,0.352136000000000000,FERRO,PR
138,2020,4,25902.338000000000000000,FERRO,MG
139,2020,9,55322.195000000000000000,FERRO,MS
140,2020,1,57552.797000000000000000,FERRO,MA
141,2020,1,708060.100000000000000000,FERRO,RJ
142,2020,7,24697.357000000000000000,FERRO,CE
143,2020,12,4.791452000000000000,FERRO,CE
144,2020,9,6259854.000000000000000000,FERRO,MG
145,2020,9,327652.700000000000000000,FERRO,MS
146,2020,10,482437.970000000000000000,FERRO,ES
147,2020,11,103266.190000000000000000,FERRO,RJ
148,2020,9,100118.760000000000000000,FERRO,MA
149,2020,3,91625.516000000000000000,FERRO,ES
150,2020,6,562354.800000000000000000,FERRO,MT
151,2020,9,86722.700000000000000000,FERRO,MA
152,2020,6,29228.822000000000000000,FERRO,MG
153,2020,8,19944.113000000000000000,FERRO,MG
154,2020,1,19077.652000000000000000,FERRO,MG
155,2020,10,195813.360000000000000000,FERRO,MG
156,2020,7,56.335552000000000000,FERRO,MG
157,2020,6,3310.402300000000000000,FERRO,RJ
158,2020,4,13847.737000000000000000,FERRO,MG
159,2020,5,5439.466300000000000000,FERRO,MG
160,2020,11,37112.477000000000000000,FERRO,MG
161,2020,10,87868.336000000000000000,FERRO,MA
162,2020,5,122200.016000000000000000,FERRO,RJ
163,2020,6,558371.600000000000000000,FERRO,RJ
164,2020,12,4433.527300000000000000,FERRO,MG
165,2020,6,31871.773000000000000000,FERRO,MG
166,2020,6,3.497581000000000000,FERRO,CE
167,2020,12,358932.500000000000000000,FERRO,MG
168,2020,3,172399.640000000000000000,FERRO,MA
169,2020,11,18065.785000000000000000,FERRO,MG
170,2020,7,762480.440000000000000000,FERRO,RJ
171,2020,7,147597.440000000000000000,FERRO,MG
172,2020,1,21923.582000000000000000,FERRO,MG
173,2020,6,269395.750000000000000000,FERRO,MG
174,2020,5,239148.640000000000000000,FERRO,MG
175,2020,2,100386.695000000000000000,FERRO,RJ
176,2020,12,58180.703000000000000000,FERRO,MS
177,2020,9,9070.882000000000000000,FERRO,MG
178,2020,3,79334.190000000000000000,FERRO,RJ
179,2020,12,3491046.500000000000000000,FERRO,MG
180,2020,7,391471.800000000000000000,FERRO,MA
181,2020,11,81.700294000000000000,FERRO,MG
182,2020,11,130.701430000000000000,FERRO,RJ
183,2020,6,492769.440000000000000000,FERRO,MA
184,2020,10,208909.060000000000000000,FERRO,BA
185,2020,12,110176.580000000000000000,FERRO,PB
186,2020,10,1645725.000000000000000000,FERRO,MG
187,2020,12,195.556090000000000000,FERRO,MG
188,2020,9,26.276090000000000000,FERRO,RS
189,2020,6,18086.107000000000000000,FERRO,CE
190,2020,3,1720595.200000000000000000,FERRO,MG
191,2020,8,113379.414000000000000000,FERRO,MA
192,2020,5,46836.613000000000000000,FERRO,ES
193,2020,11,272942.300000000000000000,FERRO,MG
194,2020,6,672244.200000000000000000,FERRO,BA
195,2020,7,117646.890000000000000000,FERRO,MG
196,2020,8,7233.328600000000000000,FERRO,MG
197,2020,7,327780.200000000000000000,FERRO,RJ
198,2020,7,42875.430000000000000000,FERRO,RJ
199,2020,3,80606.016000000000000000,FERRO,MG
200,2020,7,104666.805000000000000000,FERRO,MG
201,2020,7,137838.720000000000000000,FERRO,MG
202,2020,12,833.885200000000000000,FERRO,PB
203,2020,10,14394256.000000000000000000,FERRO,MG
204,2020,7,12306.104500000000000000,FERRO,MG
205,2020,2,5072.727500000000000000,FERRO,MG
206,2020,4,343076.940000000000000000,FERRO,PA
207,2020,9,759762.400000000000000000,FERRO,MG
208,2020,4,209054.890000000000000000,FERRO,MA
209,2020,5,111007.516000000000000000,FERRO,MG
210,2020,5,121686.240000000000000000,FERRO,MA
211,2020,8,0.336965000000000000,FERRO,SC
212,2020,7,21149.568000000000000000,FERRO,MG
213,2020,8,60125.406000000000000000,FERRO,MG
214,2020,6,70653.300000000000000000,FERRO,RJ
215,2020,7,11.097018000000000000,FERRO,MG
216,2020,5,56461.540000000000000000,FERRO,RJ
217,2020,12,130678.125000000000000000,FERRO,MG
218,2020,4,100326.800000000000000000,FERRO,MG
219,2020,12,28.197906000000000000,FERRO,CE
220,2020,6,21.014296000000000000,FERRO,MG
221,2020,8,116103.710000000000000000,FERRO,ES
222,2020,11,5079.612000000000000000,FERRO,MG
223,2020,9,78.786026000000000000,FERRO,MG
224,2020,1,45628.625000000000000000,FERRO,MG
225,2020,9,351150.300000000000000000,FERRO,MA
226,2020,9,41158.934000000000000000,FERRO,MG
227,2020,4,48772.460000000000000000,FERRO,RJ
228,2020,6,5.612759000000000000,FERRO,MG
229,2020,7,28.695927000000000000,FERRO,MG
230,2020,9,31192.162000000000000000,FERRO,RJ
231,2020,7,158408.720000000000000000,FERRO,RJ
232,2020,12,1186.764000000000000000,FERRO,MG
233,2020,10,1083122.600000000000000000,FERRO,RJ
234,2020,11,273569.200000000000000000,FERRO,ES
235,2020,9,21064.922000000000000000,FERRO,MG
236,2020,6,14770.824000000000000000,FERRO,MG
237,2020,8,48071.324000000000000000,FERRO,GO
238,2020,12,59573.530000000000000000,FERRO,MG
239,2020,6,35667.156000000000000000,FERRO,GO
240,2020,12,529764.200000000000000000,FERRO,RJ
241,2020,5,770342.060000000000000000,FERRO,MG
242,2020,7,311248.220000000000000000,FERRO,MT
243,2020,8,2.141234000000000000,FERRO,CE
244,2020,11,222422.050000000000000000,FERRO,MG
245,2020,12,43.678493000000000000,FERRO,MG
246,2020,6,355742.060000000000000000,FERRO,MA
247,2020,12,66302.030000000000000000,FERRO,MG
248,2020,1,92889.805000000000000000,FERRO,RJ
249,2020,8,54920.574000000000000000,FERRO,MG
250,2020,1,49732.090000000000000000,FERRO,ES
251,2020,2,1002960.250000000000000000,FERRO,MG
252,2020,4,75568.150000000000000000,FERRO,RJ
253,2020,5,832444.560000000000000000,FERRO,MA
254,2020,6,31398.082000000000000000,FERRO,RJ
255,2020,11,254.470780000000000000,FERRO,RJ
256,2020,7,228420.060000000000000000,FERRO,PE
257,2020,8,36013.690000000000000000,FERRO,MG
258,2020,5,1076200.200000000000000000,FERRO,ES
259,2020,10,21722.596000000000000000,FERRO,MG
260,2020,5,81762.750000000000000000,FERRO,RJ
261,2020,8,1179.162000000000000000,FERRO,MG
262,2020,8,127575.840000000000000000,FERRO,MG
263,2020,4,929640.500000000000000000,FERRO,ES
264,2020,10,718188.800000000000000000,FERRO,BA
265,2020,6,9.042159000000000000,FERRO,SP
266,2020,12,237321.080000000000000000,FERRO,MG
267,2020,4,153193.340000000000000000,FERRO,MG
268,2020,1,296114.500000000000000000,FERRO,MG
269,2020,4,239335.050000000000000000,FERRO,RJ
270,2020,4,3462.823500000000000000,FERRO,MG
271,2020,8,24775.824000000000000000,FERRO,MG
