VALE S.A.,133
PORTO UNIAO EXTRACAO DE AREIA LTDA,121
Cbe Companhia Brasileira de Equipamento,113
Mineração Caldense Ltda,103
EMPRESA DE MINERACAO PANORAMA LTDA,92
Porto de Areia Ilha Carolina Ltda Epp,79
Cubatão Dragagens Ltda.,79
Coagro Comércio de Areia Grossa Ltda. Epp,78
Votorantim Cimentos Brasil S A,77
Mineração Curimbaba Ltda,75
